Time,Region,PC,PCC,ECPC,AP,Temperature
2025,FRA,255.1156,221.696,201.09312,268.85913,1.5 deg at 50% with small overshoot
2025,FSM,2.5529552,0.4044135,0.45017076,,1.5 deg at 50% with small overshoot
2025,G20,19351.77,23891.979,22954.273,,1.5 deg at 50% with small overshoot
2025,G7,3998.3293,7010.6235,6338.2036,,1.5 deg at 50% with small overshoot
2025,GAB,9.151121,8.253241,8.1896305,12.723781,1.5 deg at 50% with small overshoot
2025,GBR,265.15326,274.9519,239.40285,346.48224,1.5 deg at 50% with small overshoot
2025,GEO,14.771563,5.0967484,4.648848,4.8663597,1.5 deg at 50% with small overshoot
2025,GHA,128.5178,32.6581,43.7932,27.144466,1.5 deg at 50% with small overshoot
2025,GIN,52.76085,18.81714,24.214483,20.466503,1.5 deg at 50% with small overshoot
2025,GMB,10.27584,2.6784277,3.723741,2.2358491,1.5 deg at 50% with small overshoot
2025,GNB,8.048389,2.0228524,2.5152562,1.6182588,1.5 deg at 50% with small overshoot
2025,GNQ,6.402259,6.251803,6.666557,9.876037,1.5 deg at 50% with small overshoot
2025,GRC,41.50368,36.360794,28.099339,43.71088,1.5 deg at 50% with small overshoot
2025,GRD,0.4889068,0.26269665,0.26754192,,1.5 deg at 50% with small overshoot
2025,GTM,69.13433,29.680412,30.16459,40.500748,1.5 deg at 50% with small overshoot
2025,GUY,3.1405046,7.3832088,6.997343,11.198792,1.5 deg at 50% with small overshoot
2025,HND,40.284424,20.19768,21.516941,27.55026,1.5 deg at 50% with small overshoot
2025,HRV,16.146292,11.775983,10.407081,14.082111,1.5 deg at 50% with small overshoot
2025,HTI,44.993587,8.48458,10.04424,4.270259,1.5 deg at 50% with small overshoot
2025,HUN,38.450287,33.32911,29.41319,41.868866,1.5 deg at 50% with small overshoot
2025,IDN,1077.5245,1140.3983,1096.0884,1770.6244,1.5 deg at 50% with small overshoot
2025,IND,5534.056,2540.3848,2659.7957,3097.0156,1.5 deg at 50% with small overshoot
2025,IRL,19.61103,34.814304,34.813667,45.96048,1.5 deg at 50% with small overshoot
2025,IRN,346.52576,502.48618,504.03604,720.9364,1.5 deg at 50% with small overshoot
2025,IRQ,170.00067,138.04008,156.2851,178.58441,1.5 deg at 50% with small overshoot
2025,ISL,1.4487106,2.762467,2.6525524,3.5856154,1.5 deg at 50% with small overshoot
2025,ISR,34.84905,42.237667,42.24012,61.06312,1.5 deg at 50% with small overshoot
2025,ITA,235.00917,243.40048,213.91959,306.37234,1.5 deg at 50% with small overshoot
2025,JAM,11.133137,5.5974455,4.5904846,7.2756276,1.5 deg at 50% with small overshoot
2025,JOR,43.575695,20.973253,23.676687,23.51822,1.5 deg at 50% with small overshoot
2025,JPN,493.4538,766.0811,679.2126,1000.1974,1.5 deg at 50% with small overshoot
2025,KAZ,75.233025,188.22159,180.4201,287.08664,1.5 deg at 50% with small overshoot
